Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
25-Aug,Sunday,7.68,Flowers ,Entertainment and Recreation,Debit,Need
26-Aug,Monday,3.18,Fries,Food,Debit,Need
25-Aug,Sunday,6.95,Boba,Food,Debit,Want
25-Aug,Sunday,4.91,Gift Bag,Entertainment and Recreation,Debit,Want
25-Aug,Sunday,53.68,Gas,Travel,Debit,Need
24-Aug,Saturday,56,Shoes,Entertainment and Recreation,Debit,Want
25-Aug,Sunday,15.04,Lunch,Food,Debit,Want
25-Aug,Sunday,7.67,Snack,Food,Debit,Want
25-Aug,Sunday,30,Haircut,Entertainment and Recreation,Debit,Want
23-Aug,Friday,13.52,Desert,Food,Debit,Want
27-Aug,Tuesday,12.95,Lunch,Food,Debit,Need
28-Aug,Wednesday,18.28,Acai Bowl,Food,Debit,Need
28-Aug,Wednesday,15.16,Burger,Food,Debit,Need
29-Aug,Thursday,45.72,Gas,Travel,Debit,Need
29-Aug,Thursday,6,Snack,Food,Debit,Want
29-Aug,Thursday,98.89,Dashcam,Travel,Debit,Want
30-Aug,Friday,18.28,Drink,Food,Debit,Want
30-Aug,Friday,58.07,Dinner,Food,Debit,Want
31-Aug,Saturday,44.29,Gas,Travel,Debit,Need
31-Aug,Saturday,14.2,Drink,Food,Debit,Want
31-Aug,Saturday,126.83,Car,Travel,Debit,Need
31-Aug,Saturday,75,Car,Travel,Credit,Need
31-Aug,Saturday,140,Car,Travel,Debit,Need
1-Sep,Sunday,70,Shoes,Entertainment and Recreation,Debit,Want
1-Sep,Sunday,19,Food,Food,Debit,Want
